"escuela","departamento","sector","zona","nivel_socioeconomico","asistencia_pct","experiencia_docente","tamano_clase","presupuesto_alumno","computadoras_alumno","horas_semanales","formacion_docente_pct","puntaje_prueba"
"escuela_001","Paysandú","publico","rural",61.5,96.2,23.5,19,1069,0.49,26.3,63.6,566.3
"escuela_002","Montevideo","publico","urbana",52.5,91,2.3,24,1383,0.64,31,78.1,554.8
"escuela_003","Montevideo","publico","rural",48,92.7,8.1,27,821,0.12,37.1,53.3,502.2
"escuela_004","Rivera","publico","rural",55.2,85,19.9,23,996,0.51,28.7,41.3,568.5
"escuela_005","Paysandú","publico","urbana",48.6,91.4,19.9,34,1068,0.57,30.2,71.9,479
"escuela_006","Tacuarembó","publico","rural",45,82.6,10.9,28,1285,0.77,33.8,61.1,484.3
"escuela_007","Maldonado","publico","urbana",47,89.2,4.2,23,1034,0.81,37.3,86.3,511.7
"escuela_008","Salto","publico","rural",43.1,86.1,8.1,24,1288,0.61,20.1,64.4,512.5
"escuela_009","Salto","publico","urbana",40.3,82.7,22.8,22,1200,0.48,33.3,66.6,545.8
"escuela_010","Colonia","privado","rural",73,90.5,1,21,1819,0.81,26.9,75.1,557.9
"escuela_011","Paysandú","privado","urbana",77.7,93.3,12.1,28,1188,0.42,29.9,70.8,573.2
"escuela_012","Tacuarembó","publico","rural",37,88.1,17.4,22,952,0.5,21.9,36.8,515.3
"escuela_013","Salto","publico","rural",72.9,82.9,13.2,30,1340,0.61,27.3,77.5,512.4
"escuela_014","Canelones","publico","rural",44.5,77.7,13.8,26,1325,0.7,35,52.1,446.5
"escuela_015","Canelones","publico","rural",43.8,84.5,23.7,19,1101,0.51,32.9,75.5,476.4
"escuela_016","Colonia","publico","rural",27,77.8,11.7,23,995,0.54,25.9,66.3,466.9
"escuela_017","Maldonado","publico","urbana",55.5,86.8,15.5,19,1343,0.8,30.7,50.5,516.6
"escuela_018","Tacuarembó","publico","urbana",42.2,85.3,11.3,36,1142,0.53,28.5,61.2,464.6
"escuela_019","Paysandú","privado","urbana",73.9,86.1,17,24,1481,0.62,23.4,51.8,537.6
"escuela_020","Rivera","publico","urbana",57.7,78.6,11.6,28,826,0.53,27.2,76.5,508.4
"escuela_021","Montevideo","publico","rural",60,84.9,16.1,27,1040,0.31,35.4,44.4,510.6
"escuela_022","Salto","publico","urbana",45.6,83.6,13.3,28,692,0.38,28,68.4,460.5
"escuela_023","Canelones","privado","urbana",45.7,77.5,28.3,22,1109,0.32,25.3,13.6,530.2
"escuela_024","Rivera","publico","urbana",60.5,90.2,24.2,25,1239,0.5,32.7,40.4,548.9
"escuela_025","Canelones","publico","rural",54.2,85.8,10.2,23,1173,0.82,29.7,50.1,508.7
"escuela_026","Rivera","publico","rural",66,88.1,10.7,26,1038,0.69,26.8,31.6,508.3
"escuela_027","Canelones","publico","rural",45.7,88.8,5.5,26,1150,0.72,30.5,78.9,574.3
"escuela_028","Paysandú","publico","urbana",62,93.2,7.5,22,1071,0.68,20,43.7,533
"escuela_029","Paysandú","publico","urbana",61.4,80.8,2.2,28,1409,0.75,32.6,23.5,518.8
"escuela_030","Salto","privado","urbana",62.3,99.1,17.9,16,1352,0.45,26.3,42.2,573.4
"escuela_031","Colonia","privado","urbana",47.2,82.6,8.2,24,1555,0.83,33,73,478
"escuela_032","Paysandú","publico","urbana",45.4,86.2,13.2,27,875,0.48,36.8,22.3,460.8
"escuela_033","Colonia","privado","rural",64.1,90.3,24.6,28,1543,0.56,32.5,44.8,591.2
"escuela_034","Maldonado","publico","urbana",56.9,84.5,17.9,27,842,0.58,29.8,64.8,498.9
"escuela_035","Salto","privado","rural",42.8,91.1,6.2,26,1216,0.61,24.2,30.6,455.4
"escuela_036","Maldonado","publico","rural",46.7,84.3,8.9,34,1454,0.66,23.8,60,490.2
"escuela_037","Maldonado","privado","urbana",53.3,85.5,2.9,25,1387,0.76,29.5,60,511.1
"escuela_038","Canelones","publico","rural",58.4,99.1,6.7,31,977,0.54,25.4,61.3,503.8
"escuela_039","Paysandú","privado","urbana",70.1,88.4,22.9,21,1583,0.5,28.2,78.7,611.8
"escuela_040","Salto","publico","urbana",48,88.2,16.8,24,1371,0.62,25,47.8,563.4
"escuela_041","Colonia","publico","rural",56.6,76.2,5.7,26,1301,0.48,36.4,47.6,511.2
"escuela_042","Canelones","publico","rural",35.8,85.5,17.6,22,960,0.66,27.8,41.9,514.2
"escuela_043","Canelones","publico","urbana",71.3,88.4,18.4,28,1793,0.99,30.8,79.2,532.1
"escuela_044","Paysandú","publico","rural",37.2,77.4,7.4,28,1018,0.36,30.7,42.3,450.7
"escuela_045","Salto","publico","rural",22.7,82.2,13.1,22,1033,0.51,30.5,69,516.2
"escuela_046","Paysandú","publico","urbana",42.2,80.9,14.6,27,801,0.4,25.6,59.7,440
"escuela_047","Paysandú","publico","urbana",50,81.6,16,29,1329,0.73,30.7,57.2,505.1
"escuela_048","Montevideo","publico","urbana",52.5,86.1,18.8,24,1149,0.53,32.6,95.5,496.5
"escuela_049","Salto","publico","urbana",43.8,86,17.2,22,1058,0.55,26.4,63.2,518.6
"escuela_050","Paysandú","publico","urbana",49.5,87.3,14.3,28,1442,0.67,40.9,46.1,552.9
"escuela_051","Montevideo","privado","rural",65.8,94.5,29.9,16,1698,0.54,29.1,22.7,574
"escuela_052","Paysandú","publico","urbana",58.6,84.4,13.6,33,1436,0.57,28.5,52.4,526.5
"escuela_053","Canelones","publico","urbana",56.5,86.9,3.6,26,1268,0.49,26.9,95.1,473.3
"escuela_054","Montevideo","publico","urbana",42.2,86.5,8.4,22,901,0.3,35.3,21.7,465.8
"escuela_055","Colonia","publico","urbana",58,91,11.7,25,878,0.42,40.7,80.6,543.8
"escuela_056","Tacuarembó","publico","rural",67.6,82.3,19.2,31,1335,0.47,27.4,68.4,550.9
"escuela_057","Maldonado","publico","rural",36.7,85.1,5.4,26,850,0.58,26.8,34.1,406.6
"escuela_058","Colonia","publico","urbana",81.9,90.2,5.8,27,1471,0.66,28,62.4,563.1
"escuela_059","Canelones","privado","urbana",81.1,82.8,12.3,26,1817,0.78,24.6,100,549.2
"escuela_060","Rivera","privado","urbana",51.3,79.7,17.7,28,1241,0.64,36.5,62.7,507.9
"escuela_061","Paysandú","publico","urbana",41.6,91.7,18.5,25,964,0.44,27,93.9,470.8
"escuela_062","Paysandú","privado","urbana",64.8,91.5,12,26,1396,0.72,24.1,29.7,517.9
"escuela_063","Maldonado","publico","rural",48,82.9,8.7,27,1524,0.84,24.9,51.4,504.6
"escuela_064","Paysandú","publico","urbana",42.2,86.7,27.2,28,1260,0.53,28.5,49.5,491.9
"escuela_065","Salto","publico","rural",38.9,84.4,16.7,29,967,0.38,24.2,73.4,442.1
"escuela_066","Colonia","publico","urbana",60.3,83.4,14.6,29,1509,0.92,31.2,47.3,513.4
"escuela_067","Tacuarembó","publico","urbana",58.9,91.2,17.5,28,1366,0.61,26.8,80,566.7
"escuela_068","Montevideo","publico","urbana",44.4,82.3,9.5,25,1034,0.56,33.8,44.4,469.2
"escuela_069","Colonia","publico","rural",41.4,86,15.3,29,972,0.63,33.6,53.9,504.2
"escuela_070","Montevideo","publico","rural",35.2,87.6,16.8,28,798,0.46,30.8,73.2,477.6
"escuela_071","Tacuarembó","privado","urbana",32.6,90.3,9.7,25,1407,0.48,31.3,82.8,501.2
"escuela_072","Maldonado","publico","rural",39.7,81.8,12.4,25,961,0.38,30.9,53.3,510.4
"escuela_073","Paysandú","publico","urbana",46.1,92.5,17.4,28,1140,0.41,28.8,26.2,530.4
"escuela_074","Paysandú","publico","urbana",53.5,97,4.6,25,1395,0.52,28.4,39.9,525.3
"escuela_075","Tacuarembó","privado","urbana",55.3,87.3,20.9,24,1763,0.99,31.2,62.3,516.7
"escuela_076","Montevideo","privado","urbana",75.7,84.5,12.9,19,1741,0.71,27.5,45.7,581.5
"escuela_077","Tacuarembó","publico","urbana",35.2,80.8,10.5,36,986,0.45,28.5,88,470.7
"escuela_078","Salto","publico","urbana",77.8,86.2,9.4,28,1697,0.78,28.3,87.7,573.8
"escuela_079","Montevideo","privado","rural",46.2,88.4,23.5,22,1291,0.45,29.1,34.4,500.4
"escuela_080","Rivera","privado","urbana",75.1,95.6,11.8,17,1262,0.51,25,23.3,588.8
"escuela_081","Salto","publico","rural",74.6,88.8,14.3,27,1214,0.57,30.8,41.1,576
"escuela_082","Montevideo","publico","rural",38.2,80.7,10.4,28,678,0.27,32.7,48.6,437.3
"escuela_083","Tacuarembó","publico","rural",42.8,82.9,8.5,28,952,0.37,33.7,25.1,507.7
"escuela_084","Tacuarembó","publico","urbana",45.5,91.5,17.5,27,1107,0.29,23,24.9,520.3
"escuela_085","Colonia","privado","urbana",70.4,81,13.6,22,1919,0.62,26.3,57.6,537.5
"escuela_086","Montevideo","privado","urbana",76.7,88.7,15.1,25,1752,0.84,35.3,35.6,557.9
"escuela_087","Colonia","privado","urbana",47.7,82.9,9.9,27,1532,0.64,37.8,56.6,498.8
"escuela_088","Salto","publico","urbana",40.7,89.6,19.9,24,1282,0.64,27.4,44.3,532.5
"escuela_089","Rivera","publico","urbana",35.5,86.4,17.2,26,832,0.08,30.1,62.6,492.6
"escuela_090","Paysandú","privado","urbana",75.1,87.3,16.5,18,1932,0.76,26.9,65.8,625.7
"escuela_091","Salto","publico","urbana",60.2,78.2,16.7,25,1225,0.7,21.3,68.2,528.1
"escuela_092","Paysandú","publico","urbana",45.1,86.9,21.3,21,1191,0.46,32.3,38.8,475.2
"escuela_093","Tacuarembó","publico","rural",33.7,78.7,18.8,24,968,0.65,26.4,87.5,445.2
"escuela_094","Colonia","privado","urbana",46,83.2,11,28,1274,0.58,31.8,25.1,532
"escuela_095","Maldonado","publico","urbana",64.6,95.3,16.3,31,1442,0.67,35.4,57.6,567.5
"escuela_096","Rivera","publico","rural",37.5,93.7,14.2,25,927,0.47,27.9,39.3,536.3
"escuela_097","Colonia","privado","urbana",79,94.5,24.6,24,1809,0.81,35.5,45.3,611
"escuela_098","Colonia","privado","urbana",96.9,91.8,6.2,24,1882,0.85,28,44.5,588.1
"escuela_099","Rivera","publico","urbana",73.8,85.6,15.6,38,1140,0.45,36.8,77.5,516.7
"escuela_100","Montevideo","privado","urbana",57.4,89.4,9.2,17,1029,0.55,33.3,39.1,520.7
"escuela_101","Salto","publico","rural",63.9,91.8,3.5,26,1140,0.4,30.5,66.4,497.9
"escuela_102","Maldonado","publico","urbana",45.6,90.1,11.1,28,1121,0.66,31.9,62.8,530.6
"escuela_103","Tacuarembó","privado","rural",66,81.5,8,19,1545,0.85,29.8,88.3,514.8
"escuela_104","Montevideo","publico","urbana",57.3,81.2,14.3,27,997,0.56,30.6,70.7,536.6
"escuela_105","Montevideo","publico","urbana",62.6,83.1,16.4,22,889,0.33,29.5,16,558.4
"escuela_106","Salto","publico","urbana",55.1,88.7,14.6,26,1170,0.48,27.1,69.7,541.3
"escuela_107","Rivera","publico","urbana",59.1,80.2,14,32,1216,0.36,36.3,76.4,491.5
"escuela_108","Paysandú","publico","rural",56.8,90.9,18.1,27,1468,0.8,25.6,39.4,459.4
"escuela_109","Montevideo","privado","rural",32.3,77,11.1,23,1337,0.57,33.3,68.8,462.3
"escuela_110","Maldonado","publico","urbana",51.2,88.4,1,27,1452,0.71,37.9,22.1,514.9
"escuela_111","Salto","publico","rural",53.3,86,20.8,22,1153,0.52,23.8,47.9,549.6
"escuela_112","Tacuarembó","publico","urbana",57.9,87.4,13.3,15,1086,0.43,25.8,56.4,570.3
"escuela_113","Montevideo","publico","rural",49.8,95.8,18.4,29,1186,0.48,25.3,62.6,567.9
"escuela_114","Colonia","publico","urbana",79.2,88.6,17.2,22,1367,0.65,30.1,63.4,607.7
"escuela_115","Paysandú","privado","rural",60.2,87.2,13.2,10,1540,0.64,27.9,71.7,565.6
"escuela_116","Paysandú","publico","rural",49.3,84.4,18,26,817,0.44,33.5,43.5,530.1
"escuela_117","Salto","publico","urbana",53.3,90.3,6.3,22,1071,0.46,34.8,32.4,488.5
"escuela_118","Paysandú","privado","urbana",100,98.2,16.9,23,1576,0.67,36.7,68.9,635.2
"escuela_119","Paysandú","publico","rural",39.3,80.1,21.6,25,923,0.67,28.2,54.3,491.7
"escuela_120","Montevideo","publico","urbana",70.3,89.6,23.2,28,1503,0.69,29.6,39.3,575.5
"escuela_121","Canelones","publico","urbana",70.9,80.1,11.2,32,498,0.36,29.9,74.2,496.2
"escuela_122","Salto","privado","rural",51.6,94.2,12.2,18,1323,0.64,25.4,51.1,563.9
"escuela_123","Maldonado","privado","rural",79.3,91.5,20.4,26,1657,0.76,24.6,65.4,591.5
"escuela_124","Rivera","privado","rural",70.3,95.8,10.7,22,1382,0.75,25.1,50.6,548.8
"escuela_125","Paysandú","publico","rural",62.1,85,17.3,24,924,0.54,29.2,70.8,576.9
"escuela_126","Maldonado","privado","urbana",44.5,87.1,12.6,20,1815,0.59,28.6,74.6,514.3
"escuela_127","Paysandú","publico","rural",37.2,91,9.9,24,1160,0.66,30.4,43.4,486
"escuela_128","Montevideo","publico","rural",42.6,88.3,14.3,24,804,0.38,29,53.4,515.8
"escuela_129","Maldonado","publico","rural",50.6,90.7,13.1,20,1168,0.62,25.2,70.4,521.4
"escuela_130","Rivera","publico","urbana",54.1,93,11.5,24,1039,0.47,22.3,67.6,508.3
"escuela_131","Paysandú","publico","urbana",52.9,85,10.5,29,918,0.36,25.5,57.7,555
"escuela_132","Canelones","publico","urbana",63.4,88.2,18.2,25,1352,0.56,32.7,49.7,563.7
"escuela_133","Salto","publico","urbana",67.8,88.4,24.7,23,1433,0.56,24.2,68.7,542.5
"escuela_134","Canelones","publico","urbana",78.3,86.8,11.6,29,1142,0.53,31.2,35.9,529.4
"escuela_135","Montevideo","privado","urbana",77.5,78.7,6.9,18,2200,0.89,27.7,34.5,568
"escuela_136","Salto","publico","rural",31.7,81.6,8.6,23,713,0.27,28.2,27.6,460.5
"escuela_137","Canelones","privado","rural",42.8,93,15.2,24,1590,0.79,32.4,69.4,509.3
"escuela_138","Salto","publico","rural",66.7,99.4,14.1,24,1267,0.68,28,88.5,581
"escuela_139","Paysandú","publico","rural",42.5,80.4,7.5,27,957,0.45,32.6,62.4,422.7
"escuela_140","Canelones","publico","urbana",60,84,15.4,21,1181,0.37,35.4,79.1,521
"escuela_141","Salto","publico","urbana",60.6,76.9,13.4,24,1522,0.57,34.7,72.3,491.7
"escuela_142","Paysandú","privado","rural",71.3,89.7,15.9,28,1937,0.9,26.1,40.9,552.1
"escuela_143","Tacuarembó","publico","urbana",49.1,83.5,13.3,26,1113,0.52,30.8,57.7,511
"escuela_144","Maldonado","privado","rural",57.4,80.8,5.2,27,1742,0.87,30.9,33.5,550.8
"escuela_145","Montevideo","publico","urbana",61.1,85.8,22.3,22,1202,0.51,25.1,72.2,551.5
"escuela_146","Montevideo","publico","rural",37,80,22.2,22,1210,0.55,28.4,70.5,502.6
"escuela_147","Montevideo","privado","urbana",65.8,92.6,14.2,23,1582,0.53,33.9,61.2,543.2
"escuela_148","Montevideo","publico","urbana",46.8,88,23.3,31,1441,0.79,33.1,52.6,536.6
"escuela_149","Colonia","privado","urbana",53.6,87.1,19.5,19,1103,0.53,30.9,62.8,545.5
"escuela_150","Montevideo","publico","urbana",57.3,91.5,8,24,1479,0.67,31.2,28.4,552.4
"escuela_151","Paysandú","privado","rural",68.3,90.6,19,27,1678,0.54,27.7,60.4,525.8
"escuela_152","Salto","publico","urbana",56.4,75.1,7.3,29,1413,0.71,32.1,94.5,485.9
"escuela_153","Maldonado","publico","urbana",59.7,88.6,12,26,1608,0.52,31.5,41,520.4
"escuela_154","Paysandú","publico","urbana",53.7,89.1,16.9,26,1392,0.98,30.6,26.1,474
"escuela_155","Canelones","publico","rural",45.5,87.4,22,31,1544,0.75,34.9,42,510.9
"escuela_156","Salto","publico","urbana",33,81.5,9.4,36,1113,0.39,27.9,74.1,430.6
"escuela_157","Salto","publico","urbana",72,89.1,15.4,27,893,0.41,26.4,58,517.8
"escuela_158","Colonia","privado","rural",82.4,88.6,21.2,26,1640,0.72,30.3,38.9,569.8
"escuela_159","Montevideo","publico","urbana",67.1,82.1,14.2,28,1508,0.68,27.6,35.3,530.1
"escuela_160","Maldonado","publico","urbana",63.3,97.4,3.2,29,1120,0.56,25.3,44.2,499.6
"escuela_161","Canelones","privado","rural",63.2,79.7,19.6,26,1678,0.73,23.3,78.6,550.7
"escuela_162","Canelones","privado","urbana",63.3,84.2,17.7,24,1474,0.61,29.4,65.4,536.4
"escuela_163","Montevideo","privado","rural",64.7,93.6,19.6,25,1704,0.78,35.2,40.3,610.2
"escuela_164","Canelones","publico","urbana",47.3,77.8,13.7,30,1093,0.54,32.2,72,483.1
"escuela_165","Maldonado","publico","urbana",64.8,91.1,21.3,34,1241,0.5,32.6,41.2,483.9
"escuela_166","Canelones","publico","rural",53.6,85,15,33,1287,0.57,32.3,49.3,508.6
"escuela_167","Paysandú","publico","urbana",55.1,84.9,14.3,19,1489,0.68,25,69.4,519.4
"escuela_168","Canelones","publico","urbana",51.4,76.7,13.5,24,1035,0.47,24.8,71.3,438.8
"escuela_169","Paysandú","publico","rural",52.2,82.9,27.9,40,875,0.37,32.1,15,511.7
"escuela_170","Maldonado","publico","urbana",65.1,89.8,19,31,1508,0.79,28.6,82.1,538.7
"escuela_171","Colonia","publico","rural",67.8,86,1,18,969,0.51,25.4,65.9,482.3
"escuela_172","Rivera","privado","rural",42.8,91.5,11.3,25,1477,0.73,26.3,51.9,522
"escuela_173","Rivera","publico","rural",39.6,85.5,18.6,26,1195,0.64,27.7,35.6,505.2
"escuela_174","Paysandú","publico","rural",71.9,88.3,10.2,34,1368,0.77,36.5,48.8,523.7
"escuela_175","Canelones","publico","rural",45.7,85.3,9,24,1490,0.76,25,50.4,531.2
"escuela_176","Rivera","publico","urbana",77.5,91,9.3,25,1343,0.46,31.4,37.3,548.4
"escuela_177","Maldonado","privado","urbana",57.8,93.4,16.1,31,1793,0.6,29.2,58.6,535.4
"escuela_178","Salto","publico","rural",64.5,91.9,10.8,24,1566,0.67,37.2,73.3,567.3
"escuela_179","Salto","publico","urbana",43,89.6,13.9,24,1047,0.61,24.7,72.7,520.1
"escuela_180","Colonia","publico","urbana",42.8,93.2,13.2,21,1181,0.63,25.4,31.8,578
"escuela_181","Salto","privado","rural",66.1,85.7,13.1,18,1442,0.8,27.1,48.9,529.6
"escuela_182","Paysandú","publico","urbana",51.2,86.1,10.8,20,1403,0.6,22.6,32.5,520.9
"escuela_183","Canelones","publico","urbana",39.4,94.5,9.3,29,1181,0.44,28.3,61.7,514.8
"escuela_184","Paysandú","publico","urbana",39.5,82.7,23.2,25,655,0.22,25.1,56.5,446.5
"escuela_185","Salto","privado","urbana",73.3,92.2,19.3,28,1705,0.91,26.9,79.3,523.8
"escuela_186","Tacuarembó","publico","urbana",39.8,86.7,14.8,25,1139,0.75,35.4,37.9,476
"escuela_187","Paysandú","publico","rural",62.2,97.6,14.8,27,1427,0.55,30.2,27.6,619.7
"escuela_188","Canelones","privado","urbana",87.1,97.9,15.4,19,1812,0.7,34.4,41.7,601.5
"escuela_189","Colonia","publico","urbana",38.1,86.2,25.1,29,768,0.68,29.8,70,490.9
"escuela_190","Rivera","publico","urbana",30.5,87.3,11.8,35,920,0.36,26.7,62.4,486.3
"escuela_191","Tacuarembó","privado","urbana",38.3,70.1,7.1,24,1764,0.66,30.6,76.6,469.9
"escuela_192","Tacuarembó","publico","urbana",65.9,87.5,14.4,31,1036,0.38,28.9,47.9,549.3
"escuela_193","Colonia","publico","urbana",39.8,88.6,17.4,27,805,0.28,32.6,39.3,468.3
"escuela_194","Montevideo","publico","urbana",69.2,100,14.8,27,1202,0.49,26.7,100,590.1
"escuela_195","Paysandú","publico","urbana",52.1,87.1,11.5,23,613,0.57,31.3,45.4,463.2
"escuela_196","Salto","publico","urbana",36.3,88,19.2,22,712,0.34,26.2,47.6,511.3
"escuela_197","Salto","publico","urbana",42.7,85.9,23.1,19,672,0.18,32.1,84.5,480.3
