"municipio","pais","ingreso_promedio","escolaridad_media","acceso_agua","acceso_electricidad","empleo_formal","distancia_capital","poblacion","presupuesto_per_capita","desarrollo_alto"
"municipio_001","Brasil",1006,8.3,67.2,84.2,57,384,118,206,"no"
"municipio_002","México",734,6.5,68.3,86.3,9.5,140,22,257,"no"
"municipio_003","Brasil",966,10.1,76.7,90.9,36.5,516,18,191,"no"
"municipio_004","Perú",967,8.1,84.2,79.8,41.9,284,15,97,"si"
"municipio_005","Uruguay",864,9,73.8,80.8,35,88,46,142,"no"
"municipio_006","Brasil",250,6.5,49.5,70.5,22.5,232,18,50,"no"
"municipio_007","Argentina",250,4.4,70.5,86.3,31.6,197,30,402,"no"
"municipio_008","Uruguay",654,6.8,78.8,73.4,38.1,236,62,321,"si"
"municipio_009","Colombia",1042,8.8,93.9,83.5,51.7,385,24,197,"no"
"municipio_010","Brasil",869,7,76.5,82.6,30.9,127,4,355,"no"
"municipio_011","Brasil",810,10,77,86.4,32.2,491,26,262,"no"
"municipio_012","Colombia",671,9,60.7,90.9,40.4,725,45,266,"si"
"municipio_013","Argentina",661,6.7,81.6,91.7,50,254,12,318,"no"
"municipio_014","Argentina",1016,8,75.9,83.4,44.9,126,22,127,"no"
"municipio_015","Brasil",250,7.1,52.6,70.7,14.4,152,14,117,"no"
"municipio_016","México",1366,12,74.9,100,57.6,105,113,602,"si"
"municipio_017","Argentina",887,9.8,80.3,94.1,42,38,36,303,"no"
"municipio_018","México",768,9.8,62.4,86.6,53.9,140,8,461,"si"
"municipio_019","México",698,7.9,48.3,86.8,21.9,252,76,391,"no"
"municipio_020","Uruguay",1036,9.7,86.7,88,54.8,285,53,151,"si"
"municipio_021","Argentina",993,6.8,61.7,79.6,33.6,265,15,329,"no"
"municipio_022","Colombia",1063,8.7,58.8,87.5,36.9,356,26,339,"no"
"municipio_023","Argentina",250,5.8,66.7,81.8,27.2,152,8,306,"no"
"municipio_024","Argentina",1163,10.8,81.4,98.9,80.5,223,102,516,"no"
"municipio_025","Argentina",250,9.8,98,87.3,41.9,210,218,242,"si"
"municipio_026","Brasil",2161,13.8,90.4,100,55.9,138,159,386,"si"
"municipio_027","Brasil",1474,10.1,87.2,92.4,59.1,310,221,605,"no"
"municipio_028","México",893,9.1,75.8,97.1,40.5,90,41,229,"no"
"municipio_029","Colombia",966,10.1,67.4,91.7,50.5,205,7,450,"no"
"municipio_030","Colombia",1347,10.1,100,100,67.8,153,74,412,"si"
"municipio_031","Brasil",446,6.9,66.3,84.6,39.4,315,35,213,"no"
"municipio_032","Uruguay",1127,7.2,66.9,93.9,52.4,168,32,283,"si"
"municipio_033","México",1151,7.3,64.3,87.8,26.9,416,23,312,"no"
"municipio_034","Colombia",986,8.5,70.4,81.4,51.9,208,16,287,"no"
"municipio_035","Colombia",971,8.2,77.8,88.3,47.1,5,63,243,"si"
"municipio_036","Brasil",1435,9.4,84.9,96.4,59.2,185,23,549,"si"
"municipio_037","Argentina",1415,10.1,84.6,86.6,59.9,286,8,346,"si"
"municipio_038","Brasil",511,5.7,71.2,87.6,27.7,359,21,301,"no"
"municipio_039","Argentina",1313,7.4,96.5,85.2,68.3,120,13,458,"si"
"municipio_040","Perú",764,7.2,72.2,76.3,14.5,328,60,346,"no"
"municipio_041","Argentina",754,7.9,74.4,83.4,30.4,451,38,206,"no"
"municipio_042","Uruguay",1366,7.8,85.1,98.3,48.2,330,13,380,"si"
"municipio_043","Perú",494,8.8,80.9,85.3,27.7,367,12,296,"no"
"municipio_044","Argentina",651,8.9,76.3,99.1,40.4,221,21,153,"no"
"municipio_045","Brasil",511,8.1,66.4,82.5,50.2,611,79,327,"no"
"municipio_046","Perú",1797,10.5,92.1,85.3,65.9,250,25,297,"si"
"municipio_047","Brasil",942,7.8,75.7,85.3,42.3,5,67,413,"si"
"municipio_048","Uruguay",744,8.1,69.1,89.8,32.2,383,19,358,"no"
"municipio_049","Perú",994,9.6,99.4,87.9,51.8,109,12,427,"si"
"municipio_050","Argentina",1197,6.8,70,86.9,52.1,123,356,373,"si"
"municipio_051","Uruguay",477,8.4,79.1,80.8,26.8,28,2,195,"no"
"municipio_052","Uruguay",897,9.1,77,96.1,43.5,57,21,382,"si"
"municipio_053","México",1178,7.1,67,59.1,19.5,133,62,394,"no"
"municipio_054","Colombia",1119,12,98.4,92.2,59.8,113,32,434,"no"
"municipio_055","Brasil",659,6.1,57.1,78.2,26.5,5,71,252,"no"
"municipio_056","Uruguay",426,5.8,71.9,83.8,45.1,58,44,417,"no"
"municipio_057","Perú",250,6.2,76.4,70.2,6.6,150,36,282,"no"
"municipio_058","Perú",606,7.5,72.9,79.4,23,221,18,317,"no"
"municipio_059","Uruguay",1089,8.7,87.4,91.8,46.5,169,22,243,"no"
"municipio_060","México",600,6.3,72.9,83.2,44.5,242,10,237,"no"
"municipio_061","Brasil",920,7.1,76,87.3,52.6,11,14,214,"no"
"municipio_062","Perú",1085,6.8,79.4,91.1,31.2,5,52,364,"no"
"municipio_063","México",499,7.9,80.5,85.7,37.3,173,60,196,"no"
"municipio_064","Uruguay",557,10,70.5,96.2,32,196,58,213,"si"
"municipio_065","México",250,5.7,59.2,73.2,14.9,216,20,230,"no"
"municipio_066","Uruguay",752,9.1,74.2,78.9,40.8,215,16,506,"si"
"municipio_067","Argentina",357,6.2,39.9,80.1,19.5,375,9,192,"no"
"municipio_068","México",1445,12.1,86.3,94.9,65.4,139,42,324,"si"
"municipio_069","México",726,6,60.6,83.2,39.8,346,16,365,"no"
"municipio_070","Uruguay",1180,6.6,82.3,89.9,37.2,282,12,164,"no"
"municipio_071","Colombia",1001,9.1,71.1,94.5,50.8,405,10,274,"no"
"municipio_072","Argentina",693,9.2,80.9,88.1,37,521,18,349,"no"
"municipio_073","Brasil",1085,8.8,77.2,95.3,66.7,15,50,241,"si"
"municipio_074","Argentina",764,7.7,57.7,87.4,7.4,462,13,164,"no"
"municipio_075","México",887,10.2,93.6,94.1,47.1,214,66,294,"no"
