"pais","region","pib_per_capita","esperanza_vida","mortalidad_infantil","anios_educacion","acceso_internet","indice_gini","emisiones_co2","indice_democracia"
"Noruega","Europa",86626,83.6,2.1,12.7,98.3,27.8,7.5,9.8
"Alemania","Europa",50722,81.3,3.3,14.4,90.8,31.4,7.9,8.8
"España","Europa",31781,82.9,2.1,10.8,93.5,33.8,5.4,8.1
"Polonia","Europa",22307,76.6,3.1,13.2,83.9,29.2,8.1,7
"Estados Unidos","América del Norte",76741,76.5,5.7,13.7,93.1,39.6,15.2,7.8
"Canadá","América del Norte",55302,82,3.7,13.5,93.3,33.4,14.4,8.8
"México","América Latina",10566,75.7,11.7,9.5,76.3,46.2,3.6,5.1
"Brasil","América Latina",9248,76.3,12.8,8.1,81.7,52.6,2.1,6.7
"Chile","América Latina",14866,80.7,5.3,10.4,89.6,44.6,4.6,8
"Japón","Asia",33700,84.7,1.1,13.5,82.6,31.9,8.5,8.5
"Corea del Sur","Asia",32437,83.8,2.3,12.5,94.9,31.4,12,7.9
"China","Asia",12491,78,5.5,7.6,75.6,37.9,8.1,2
"India","Asia",2630,70.4,25.7,6.7,46.2,35.6,2,7.3
"Indonesia","Asia",5295,72.1,18.6,8.7,67.5,37.3,2.3,6.7
"Vietnam","Asia",4130,73.8,15.6,8.3,80,36.7,3.4,2.6
"Bangladés","Asia",2189,72.4,23.4,7.8,39.1,33.8,0.2,5.9
"Turquía","Medio Oriente",11114,76.2,8.4,8.4,84,42,4.9,4.2
"Arabia Saudita","Medio Oriente",30433,77.8,5.8,11.6,97.6,45.4,18,2
"Sudáfrica","África",6828,62.2,26.3,11.5,71.9,63,6.7,7.1
"Nigeria","África",3086,52.8,70.9,7.1,36.5,35.4,0.6,4.1
"Kenia","África",2577,61.4,29.1,6.8,28.8,40.5,0.4,5.1
"Egipto","África",4392,70.4,16.6,9.5,71,31.8,2.4,2.7
"Etiopía","África",1104,65.2,34.4,3,17.8,34.8,0.1,3.5
"Australia","Oceanía",64512,84.1,2.8,12.7,96.1,34.6,14.9,8.8
